log_text,label
- 1121496638 2005.07.15 R05-M1-N5-C:J13-U01 2005-07-15-23.50.38.373363 R05-M1-N5-C:J13-U01 RAS KERNEL INFO generating core.51649,normal
- 1129553086 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.44.46.966475 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct,normal
"- 1123110922 2005.08.03 NULL 2005-08-03-16.15.22.059019 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",normal
- 1120486536 2005.07.04 R13-M0-NF-C:J15-U11 2005-07-04-07.15.36.058558 R13-M0-NF-C:J15-U11 RAS KERNEL INFO generating core.4568,normal
- 1119725322 2005.06.25 R21-M0-N2-C:J15-U11 2005-06-25-11.48.42.436996 R21-M0-N2-C:J15-U11 RAS KERNEL INFO generating core.54524,normal
- 1122162211 2005.07.23 R26-M0-N6-C:J02-U01 2005-07-23-16.43.31.433930 R26-M0-N6-C:J02-U01 RAS KERNEL INFO 5 floating point alignment exceptions,normal
- 1120938443 2005.07.09 R14-M1-N1-C:J06-U11 2005-07-09-12.47.23.817134 R14-M1-N1-C:J06-U11 RAS KERNEL INFO generating core.40362,normal
- 1118172002 2005.06.07 R36-M0-NE-C:J16-U11 2005-06-07-12.20.02.416691 R36-M0-NE-C:J16-U11 RAS KERNEL INFO generating core.140,normal
- 1125221269 2005.08.28 R53-M1-NA-C:J07-U01 2005-08-28-02.27.49.763494 R53-M1-NA-C:J07-U01 RAS KERNEL INFO 30866682 double-hummer alignment exceptions,normal
- 1121313777 2005.07.13 R24-M0-N1-C:J15-U11 2005-07-13-21.02.57.619853 R24-M0-N1-C:J15-U11 RAS KERNEL INFO generating core.32504,normal
- 1117959530 2005.06.05 R25-M1-N3-C:J07-U01 2005-06-05-01.18.50.147169 R25-M1-N3-C:J07-U01 RAS KERNEL INFO generating core.1778,normal
KERNSTOR 1118765474 2005.06.14 R05-M0-NB-C:J07-U11 2005-06-14-09.11.14.269339 R05-M0-NB-C:J07-U11 RAS KERNEL FATAL data storage interrupt,anomaly
KERNDTLB 1118544952 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-19.55.52.916083 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1122576348 2005.07.28 R22-M1-N2-C:J06-U11 2005-07-28-11.45.48.647450 R22-M1-N2-C:J06-U11 RAS KERNEL INFO generating core.3038,normal
- 1121308110 2005.07.13 R32-M0-ND-C:J09-U01 2005-07-13-19.28.30.645669 R32-M0-ND-C:J09-U01 RAS KERNEL INFO generating core.17826,normal
"APPSEV 1132234573 2005.11.17 R41-M0-N4-I:J18-U11 2005-11-17-05.36.13.218096 R41-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43784, Link has been severed",anomaly
- 1119803394 2005.06.26 R04-M0-ND-C:J04-U11 2005-06-26-09.29.54.599818 R04-M0-ND-C:J04-U11 RAS KERNEL INFO store operation.............................0,normal
"APPSEV 1133062747 2005.11.26 R14-M0-NC-I:J18-U11 2005-11-26-19.39.07.237104 R14-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:58694, Link has been severed",anomaly
KERNTERM 1132111213 2005.11.15 R56-M1-N8-C:J09-U11 2005-11-15-19.20.13.951884 R56-M1-N8-C:J09-U11 RAS KERNEL FATAL rts: kernel terminated for reason 1004,anomaly
KERNDTLB 1118544485 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-19.48.05.029504 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1118773480 2005.06.14 R21-M0-N6-C:J09-U11 2005-06-14-11.24.40.414682 R21-M0-N6-C:J09-U11 RAS KERNEL FATAL floating pt ex mode 1 enable......0,normal
- 1118183479 2005.06.07 R37-M1-NB-C:J13-U01 2005-06-07-15.31.19.389395 R37-M1-NB-C:J13-U01 RAS KERNEL INFO generating core.5265,normal
KERNDTLB 1118554070 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-22.27.50.973589 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1131060642 2005.11.03 R66-M1-N0-C:J07-U01 2005-11-03-15.30.42.658004 R66-M1-N0-C:J07-U01 RAS KERNEL INFO iar 00106534 dear 02494c3c,normal
"APPTO 1132613213 2005.11.21 R43-M1-NC-I:J18-U11 2005-11-21-14.46.53.133122 R43-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41656, Connection timed out",anomaly
APPSEV 1124721489 2005.08.22 R11-M1-N8-I:J18-U01 2005-08-22-07.38.09.257482 R11-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix after LOGIN_MESSAGE on CioStream socket to 172.16.96.116:52881: Link has been severed,anomaly
- 1125220378 2005.08.28 R77-M0-NE-C:J02-U01 2005-08-28-02.12.58.341427 R77-M0-NE-C:J02-U01 RAS KERNEL INFO iar 0014a150 dear 00850e28,normal
- 1122256866 2005.07.24 R16-M0-N5-C:J06-U01 2005-07-24-19.01.06.327065 R16-M0-N5-C:J06-U01 RAS KERNEL INFO generating core.61066,normal
- 1131060850 2005.11.03 R66-M0-N9-C:J13-U01 2005-11-03-15.34.10.244251 R66-M0-N9-C:J13-U01 RAS KERNEL INFO iar 00106568 dear 0246ae8c,normal
- 1121308794 2005.07.13 R35-M0-N0-C:J02-U01 2005-07-13-19.39.54.651017 R35-M0-N0-C:J02-U01 RAS KERNEL INFO generating core.24263,normal
- 1121252240 2005.07.13 R31-M0-N7-C:J07-U11 2005-07-13-03.57.20.452236 R31-M0-N7-C:J07-U11 RAS KERNEL INFO 111296968 double-hummer alignment exceptions,normal
- 1122256600 2005.07.24 R35-M1-NA-C:J04-U11 2005-07-24-18.56.40.535181 R35-M1-NA-C:J04-U11 RAS KERNEL INFO generating core.53559,normal
- 1118765991 2005.06.14 R05-M1-N9-C:J12-U01 2005-06-14-09.19.51.913150 R05-M1-N9-C:J12-U01 RAS KERNEL FATAL instruction address: 0x00004ed8,normal
- 1131060606 2005.11.03 R66-M1-N7-C:J04-U01 2005-11-03-15.30.06.033238 R66-M1-N7-C:J04-U01 RAS KERNEL INFO iar 00106534 dear 02494c3c,normal
- 1129155372 2005.10.12 R01-M1-NF-C:J05-U11 2005-10-12-15.16.12.469825 R01-M1-NF-C:J05-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x07): warning for torus y- wire,normal
APPSEV 1127988256 2005.09.29 R27-M1-NC-I:J18-U01 2005-09-29-03.04.16.205228 R27-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:34066: Link has been severed,anomaly
- 1131061774 2005.11.03 R60-M1-NF-C:J02-U11 2005-11-03-15.49.34.107169 R60-M1-NF-C:J02-U11 RAS KERNEL INFO iar 001061f0 dear 045e147c,normal
- 1131067170 2005.11.03 R26-M1-ND-C:J02-U11 2005-11-03-17.19.30.872869 R26-M1-ND-C:J02-U11 RAS KERNEL INFO 62500 floating point alignment exceptions,normal
- 1131141892 2005.11.04 R62-M0-N2-C:J11-U01 2005-11-04-14.04.52.172925 R62-M0-N2-C:J11-U01 RAS KERNEL INFO iar 001007a8 dear 065b4c6c,normal
- 1120917277 2005.07.09 R16-M0-N2-C:J14-U11 2005-07-09-06.54.37.571245 R16-M0-N2-C:J14-U11 RAS KERNEL INFO generating core.15788,normal
- 1120261990 2005.07.01 R36-M1-NA-C:J09-U01 2005-07-01-16.53.10.486313 R36-M1-NA-C:J09-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions,normal
- 1133835025 2005.12.05 R52-M1-NA-C:J03-U01 2005-12-05-18.10.25.859187 R52-M1-NA-C:J03-U01 RAS KERNEL FATAL machine check enable..............1,normal
KERNDTLB 1118556387 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-23.06.27.927212 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
KERNDTLB 1118538490 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-18.08.10.490235 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
"KERNTERM 1121127009 2005.07.11 R14-M0-NC-C:J16-U01 2005-07-11-17.10.09.327085 R14-M0-NC-C:J16-U01 RAS KERNEL FATAL rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=10144, cpu=127, index=0, total=0",anomaly
- 1121598466 2005.07.17 R23-M1-N3-C:J07-U01 2005-07-17-04.07.46.953159 R23-M1-N3-C:J07-U01 RAS KERNEL INFO generating core.47066,normal
KERNSTOR 1118765248 2005.06.14 R12-M0-N5-C:J15-U11 2005-06-14-09.07.28.221487 R12-M0-N5-C:J15-U11 RAS KERNEL FATAL data storage interrupt,anomaly
- 1120146197 2005.06.30 R17-M0-NC-C:J10-U01 2005-06-30-08.43.17.262331 R17-M0-NC-C:J10-U01 RAS KERNEL INFO generating core.19981,normal
KERNMNTF 1125029164 2005.08.25 R00-M0-N0-I:J18-U11 2005-08-25-21.06.04.378872 R00-M0-N0-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio1 : block_id : location,anomaly
- 1131058187 2005.11.03 R67-M1-N5-C:J05-U01 2005-11-03-14.49.47.906254 R67-M1-N5-C:J05-U01 RAS KERNEL INFO iar 00106210 dear 0244c1dc,normal
"KERNREC 1130529622 2005.10.28 R62-M1-N6-C:J14-U11 2005-10-28-13.00.22.265066 R62-M1-N6-C:J14-U11 RAS KERNEL FATAL Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",anomaly
APPSEV 1126476872 2005.09.11 R71-M0-N4-I:J18-U11 2005-09-11-15.14.32.930032 R71-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:56478: Link has been severed,anomaly
KERNDTLB 1118554265 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-22.31.05.869096 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
KERNMNTF 1133726697 2005.12.04 R57-M0-N4-I:J18-U11 2005-12-04-12.04.57.479749 R57-M0-N4-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio755 : block_id : location,anomaly
- 1117839692 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-16.01.32.552273 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,normal
- 1120958454 2005.07.09 R30-M1-NB-C:J05-U11 2005-07-09-18.20.54.527163 R30-M1-NB-C:J05-U11 RAS KERNEL INFO generating core.14387,normal
KERNDTLB 1118540298 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-18.38.18.247769 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1131583895 2005.11.09 R63-M0-N2-C:J02-U11 2005-11-09-16.51.35.691999 R63-M0-N2-C:J02-U11 RAS KERNEL INFO iar 00106470 dear 0244a10c,normal
- 1121172969 2005.07.12 R13-M1-N8-C:J11-U11 2005-07-12-05.56.09.251363 R13-M1-N8-C:J11-U11 RAS KERNEL INFO generating core.4061,normal
- 1120928576 2005.07.09 R34-M1-N0-C:J03-U01 2005-07-09-10.02.56.668508 R34-M1-N0-C:J03-U01 RAS KERNEL INFO generating core.16103,normal
- 1120956648 2005.07.09 R23-M0-N2-C:J03-U11 2005-07-09-17.50.48.586039 R23-M0-N2-C:J03-U11 RAS KERNEL INFO generating core.11263,normal
KERNSTOR 1118765505 2005.06.14 R04-M1-NF-C:J10-U11 2005-06-14-09.11.45.728204 R04-M1-NF-C:J10-U11 RAS KERNEL FATAL data storage interrupt,anomaly
- 1125084782 2005.08.26 R64-M1-NF-C:J04-U01 2005-08-26-12.33.02.473473 R64-M1-NF-C:J04-U01 RAS KERNEL INFO iar 003a9274 dear 00f29f68,normal
KERNTERM 1124336268 2005.08.17 R44-M0-NC-C:J12-U01 2005-08-17-20.37.48.690907 R44-M0-NC-C:J12-U01 RAS KERNEL FATAL rts: kernel terminated for reason 1001,anomaly
- 1120788477 2005.07.07 R22-M0-NF-C:J08-U01 2005-07-07-19.07.57.922544 R22-M0-NF-C:J08-U01 RAS KERNEL INFO generating core.58138,normal
- 1125083373 2005.08.26 R61-M1-NC-C:J12-U11 2005-08-26-12.09.33.144986 R61-M1-NC-C:J12-U11 RAS KERNEL INFO iar 003a9260 dear 00efcdf8,normal
KERNMNTF 1126035274 2005.09.06 R16-M1-N0-I:J18-U11 2005-09-06-12.34.34.512133 R16-M1-N0-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio229 : point /p/gb1,anomaly
- 1121172474 2005.07.12 R26-M1-N4-C:J08-U11 2005-07-12-05.47.54.649306 R26-M1-N4-C:J08-U11 RAS KERNEL INFO generating core.1374,normal
- 1121598541 2005.07.17 R35-M1-N9-C:J08-U01 2005-07-17-04.09.01.651349 R35-M1-N9-C:J08-U01 RAS KERNEL INFO generating core.22802,normal
- 1119418881 2005.06.21 R02-M1-N0-C:J12-U11 2005-06-21-22.41.21.839026 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,normal
- 1130162677 2005.10.24 R56-M0-NA-C:J17-U11 2005-10-24-07.04.37.813492 R56-M0-NA-C:J17-U11 RAS KERNEL INFO 12645 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,normal
- 1120934249 2005.07.09 R34-M0-NB-C:J06-U11 2005-07-09-11.37.29.383840 R34-M0-NB-C:J06-U11 RAS KERNEL INFO generating core.5426,normal
- 1131059778 2005.11.03 R67-M1-N5-C:J02-U01 2005-11-03-15.16.18.465873 R67-M1-N5-C:J02-U01 RAS KERNEL INFO,normal
- 1121495788 2005.07.15 R25-M1-N7-C:J14-U01 2005-07-15-23.36.28.009916 R25-M1-N7-C:J14-U01 RAS KERNEL INFO generating core.9624,normal
KERNDTLB 1118547964 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-20.46.04.271242 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
"- 1133370410 2005.11.30 R35-M1-N9-C:J14-U01 2005-11-30-09.06.50.977292 R35-M1-N9-C:J14-U01 RAS KERNEL INFO CE sym 19, at 0x057c7e00, mask 0x20",normal
- 1128026752 2005.09.29 R00-M0-N1-C:J14-U11 2005-09-29-13.45.52.300818 R00-M0-N1-C:J14-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x02): warning for torus x+ wire,normal
KERNDTLB 1118557078 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-23.17.58.401969 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1118771381 2005.06.14 R21-M0-N6-C:J09-U11 2005-06-14-10.49.41.660660 R21-M0-N6-C:J09-U11 RAS KERNEL FATAL byte ordering exception.....................0,normal
KERNDTLB 1118557135 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-23.18.55.369402 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
KERNSTOR 1118765428 2005.06.14 R02-M1-NA-C:J13-U11 2005-06-14-09.10.28.349134 R02-M1-NA-C:J13-U11 RAS KERNEL FATAL data storage interrupt,anomaly
KERNSTOR 1118767872 2005.06.14 R11-M0-NA-C:J10-U01 2005-06-14-09.51.12.543839 R11-M0-NA-C:J10-U01 RAS KERNEL FATAL data storage interrupt,anomaly
- 1118343962 2005.06.09 R23-M1-N0-C:J03-U01 2005-06-09-12.06.02.529373 R23-M1-N0-C:J03-U01 RAS KERNEL INFO generating core.1015,normal
- 1131133301 2005.11.04 R63-M0-N6-C:J05-U01 2005-11-04-11.41.41.867280 R63-M0-N6-C:J05-U01 RAS KERNEL INFO,normal
- 1122430900 2005.07.26 R21-M0-N9-C:J03-U11 2005-07-26-19.21.40.064841 R21-M0-N9-C:J03-U11 RAS KERNEL INFO generating core.23675,normal
"APPSEV 1135957340 2005.12.30 R52-M1-N0-I:J18-U11 2005-12-30-07.42.20.963048 R52-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:39979, Link has been severed",anomaly
"APPSEV 1133300166 2005.11.29 R54-M1-N0-I:J18-U01 2005-11-29-13.36.06.578257 R54-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix on CioStream socket to 172.16.96.116:46316, Link has been severed",anomaly
- 1118301078 2005.06.09 R24-M1-N7-C:J12-U01 2005-06-09-00.11.18.108270 R24-M1-N7-C:J12-U01 RAS KERNEL INFO generating core.4193,normal
APPSEV 1124709928 2005.08.22 R20-M0-NC-I:J18-U01 2005-08-22-04.25.28.199312 R20-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:43813: Link has been severed,anomaly
- 1118770357 2005.06.14 R20-M1-N9-C:J03-U11 2005-06-14-10.32.37.745491 R20-M1-N9-C:J03-U11 RAS KERNEL FATAL program interrupt: trap instruction.........0,normal
- 1131142782 2005.11.04 R62-M0-NE-C:J06-U01 2005-11-04-14.19.42.051087 R62-M0-NE-C:J06-U01 RAS KERNEL INFO iar 001066ac dear 0252528c,normal
"KERNREC 1132111255 2005.11.15 R57-M1-N5-C:J17-U11 2005-11-15-19.20.55.244488 R57-M1-N5-C:J17-U11 RAS KERNEL FATAL Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",anomaly
- 1121496138 2005.07.15 R12-M1-NB-C:J06-U11 2005-07-15-23.42.18.273790 R12-M1-NB-C:J06-U11 RAS KERNEL INFO generating core.5930,normal
- 1120094346 2005.06.29 R30-M0-N7-C:J12-U11 2005-06-29-18.19.06.979460 R30-M0-N7-C:J12-U11 RAS KERNEL INFO 344040 double-hummer alignment exceptions,normal
- 1124817659 2005.08.23 R14-M0-NC-I:J18-U11 2005-08-23-10.20.59.626185 R14-M0-NC-I:J18-U11 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,normal
- 1118770704 2005.06.14 R24-M1-NC-C:J05-U11 2005-06-14-10.38.24.085540 R24-M1-NC-C:J05-U11 RAS KERNEL FATAL store operation.............................1,normal
APPSEV 1129501479 2005.10.16 R07-M0-N0-I:J18-U01 2005-10-16-15.24.39.280375 R07-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:47536: Link has been severed,anomaly
"- 1133929629 2005.12.06 R10-M0-N6-C:J10-U01 2005-12-06-20.27.09.249704 R10-M0-N6-C:J10-U01 RAS KERNEL INFO Kernel detected 4648690 integer alignment exceptions (4648683) iar 0x00544ea8, dear 0x01fc88e0 (4648684) iar 0x00544eb8, dear 0x01fc8900 (4648685) iar 0x00544ea8, dear 0x01fc8920 (4648686) iar 0x00544eb8, dear 0x01fc8940 (4648687) iar 0x00544ee0, dear 0x01fc8960 (4648688) iar 0x00544ef0, dear 0x01fc8980 (4648689) iar 0x00544ee0, dear 0x01fc89a0 (4648690) iar 0x00544ef0, dear 0x01fc89c0",normal
- 1120259703 2005.07.01 R31-M1-N2-C:J15-U11 2005-07-01-16.15.03.733320 R31-M1-N2-C:J15-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions,normal
- 1125224364 2005.08.28 R46-M0-N6-C:J11-U01 2005-08-28-03.19.24.711795 R46-M0-N6-C:J11-U01 RAS KERNEL INFO iar 0014a150 dear 009871e8,normal
- 1131582466 2005.11.09 R62-M0-N7-C:J06-U11 2005-11-09-16.27.46.947725 R62-M0-N7-C:J06-U11 RAS KERNEL INFO iar 00106284 dear 0247673c,normal
- 1119481308 2005.06.22 R22-M1-NF-C:J14-U11 2005-06-22-16.01.48.902340 R22-M1-NF-C:J14-U11 RAS KERNEL INFO 6182400 double-hummer alignment exceptions,normal
- 1131061717 2005.11.03 R61-M1-NA-C:J10-U11 2005-11-03-15.48.37.722308 R61-M1-NA-C:J10-U11 RAS KERNEL INFO iar 00106534 dear 045e145c,normal
- 1121356975 2005.07.14 R02-M1-NC-I:J18-U11 2005-07-14-09.02.55.701647 R02-M1-NC-I:J18-U11 RAS KERNEL INFO ciod: T coordinate 1 exceeds physical dimension 1 at line 2 of node map file /p/gb2/pakin1/sweep3d-50x50x50-10mk-3mmi-1024vpes-xyzt/xyzt-8x8x8x2.map,normal
KERNSTOR 1118766724 2005.06.14 R24-M1-N3-C:J10-U11 2005-06-14-09.32.04.879551 R24-M1-N3-C:J10-U11 RAS KERNEL FATAL data storage interrupt,anomaly
KERNDTLB 1118541495 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-18.58.15.631222 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
- 1132584492 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.48.12.308876 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),normal
- 1122167318 2005.07.23 R17-M0-ND-C:J08-U01 2005-07-23-18.08.38.646334 R17-M0-ND-C:J08-U01 RAS KERNEL INFO 685 floating point alignment exceptions,normal
- 1119715878 2005.06.25 R11-M0-N2-C:J13-U11 2005-06-25-09.11.18.584664 R11-M0-N2-C:J13-U11 RAS KERNEL INFO generating core.20717,normal
KERNSTOR 1118767872 2005.06.14 R11-M0-N6-C:J17-U11 2005-06-14-09.51.12.917494 R11-M0-N6-C:J17-U11 RAS KERNEL FATAL data storage interrupt,anomaly
- 1120772484 2005.07.07 R00-M0-N7-C:J05-U11 2005-07-07-14.41.24.814968 R00-M0-N7-C:J05-U11 RAS KERNEL INFO generating core.59,normal
- 1117985478 2005.06.05 R32-M0-N6-C:J08-U11 2005-06-05-08.31.18.450566 R32-M0-N6-C:J08-U11 RAS KERNEL INFO generating core.238,normal
- 1121311409 2005.07.13 R27-M0-N0-C:J10-U11 2005-07-13-20.23.29.657262 R27-M0-N0-C:J10-U11 RAS KERNEL INFO generating core.28509,normal
- 1118734965 2005.06.14 R24-M0-N4-C:J11-U01 2005-06-14-00.42.45.601227 R24-M0-N4-C:J11-U01 RAS KERNEL INFO generating core.3573,normal
- 1120969759 2005.07.09 R22-M1-N4-C:J07-U11 2005-07-09-21.29.19.388463 R22-M1-N4-C:J07-U11 RAS KERNEL INFO generating core.2046,normal
KERNMNTF 1126192139 2005.09.08 R33-M0-N4-I:J18-U11 2005-09-08-08.08.59.278713 R33-M0-N4-I:J18-U11 RAS KERNEL FATAL Lustre mount FAILED : bglio435 : point /p/gb1,anomaly
- 1131061728 2005.11.03 R64-M1-N0-C:J17-U11 2005-11-03-15.48.48.869265 R64-M1-N0-C:J17-U11 RAS KERNEL INFO iar 00106580 dear 045e141c,normal
- 1131068028 2005.11.03 R10-M0-ND-C:J02-U11 2005-11-03-17.33.48.312795 R10-M0-ND-C:J02-U11 RAS KERNEL INFO 62500 floating point alignment exceptions,normal
- 1127244028 2005.09.20 UNKNOWN_LOCATION 2005-09-20-12.20.28.382852 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:16:BB:36:00:0D:60:E9:44:C9 ip=10.4.1.111 v=13 t=4 status=M Tue Sep 20 12:11:48 PDT 2005,normal
KERNDTLB 1118537416 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-17.50.16.828749 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
"- 1127264240 2005.09.20 R03-M0-N8-I:J18-U11 2005-09-20-17.57.20.171804 R03-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory",normal
- 1120262331 2005.07.01 R31-M0-N4-C:J07-U11 2005-07-01-16.58.51.583736 R31-M0-N4-C:J07-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions,normal
- 1121051338 2005.07.10 R30-M0-N7-C:J09-U01 2005-07-10-20.08.58.817981 R30-M0-N7-C:J09-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected,normal
"- 1130249692 2005.10.25 R34-M1-N3-C:J11-U01 2005-10-25-07.14.52.362728 R34-M1-N3-C:J11-U01 RAS KERNEL INFO CE sym 8, at 0x05eed3a0, mask 0x01",normal
- 1124818134 2005.08.23 R22-M0-NC-I:J18-U11 2005-08-23-10.28.54.341816 R22-M0-NC-I:J18-U11 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi,normal
- 1120145925 2005.06.30 R06-M1-N2-C:J06-U01 2005-06-30-08.38.45.339057 R06-M1-N2-C:J06-U01 RAS KERNEL INFO generating core.30342,normal
KERNDTLB 1118537116 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-17.45.16.642765 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,anomaly
KERNSTOR 1118767697 2005.06.14 R16-M1-N2-C:J08-U11 2005-06-14-09.48.17.914616 R16-M1-N2-C:J08-U11 RAS KERNEL FATAL data storage interrupt,anomaly
